example_id                                                 | status | run_time        |
./spec/models/brand_acts_as_tenant_spec.rb[1:1:3:1]        | passed | 0.15034 seconds |
./spec/models/brand_acts_as_tenant_spec.rb[1:1:4:1]        | passed | 0.00092 seconds |
./spec/models/brand_acts_as_tenant_spec.rb[1:1:4:2]        | passed | 0.00996 seconds |
./spec/models/brand_spec.rb[1:1:1]                         | passed | 0.00349 seconds |
./spec/models/brand_spec.rb[1:2:1]                         | passed | 0.00297 seconds |
./spec/models/brand_spec.rb[1:2:2]                         | passed | 0.00277 seconds |
./spec/models/brand_spec.rb[1:2:3]                         | passed | 0.00237 seconds |
./spec/models/brand_spec.rb[1:2:4:1]                       | passed | 0.00264 seconds |
./spec/models/brand_spec.rb[1:2:4:2]                       | passed | 0.00344 seconds |
./spec/models/brand_spec.rb[1:2:5:1]                       | passed | 0.00357 seconds |
./spec/models/brand_spec.rb[1:2:5:2]                       | passed | 0.00454 seconds |
./spec/models/brand_spec.rb[1:2:5:3]                       | passed | 0.00324 seconds |
./spec/models/brand_spec.rb[1:2:5:4]                       | passed | 0.00183 seconds |
./spec/models/brand_spec.rb[1:3:1:1]                       | passed | 0.00487 seconds |
./spec/models/brand_spec.rb[1:3:1:2]                       | passed | 0.00551 seconds |
./spec/models/brand_spec.rb[1:3:1:3]                       | passed | 0.00418 seconds |
./spec/models/brand_spec.rb[1:3:1:4]                       | passed | 0.00389 seconds |
./spec/models/brand_spec.rb[1:3:1:5]                       | passed | 0.00494 seconds |
./spec/models/brand_spec.rb[1:3:1:6]                       | passed | 0.00491 seconds |
./spec/models/brand_spec.rb[1:3:1:7]                       | passed | 0.00456 seconds |
./spec/models/brand_spec.rb[1:3:2:1]                       | passed | 0.00358 seconds |
./spec/models/brand_spec.rb[1:3:2:2]                       | passed | 0.00401 seconds |
./spec/models/brand_spec.rb[1:4:1:1]                       | passed | 0.00496 seconds |
./spec/models/brand_spec.rb[1:4:2:1]                       | passed | 0.00537 seconds |
./spec/models/brand_spec.rb[1:4:3:1]                       | passed | 0.00548 seconds |
./spec/models/brand_spec.rb[1:4:4:1]                       | passed | 0.00574 seconds |
./spec/models/brand_spec.rb[1:4:5:1]                       | passed | 0.00643 seconds |
./spec/models/brand_spec.rb[1:4:6:1]                       | passed | 0.00743 seconds |
./spec/models/brand_spec.rb[1:5:1:1]                       | passed | 0.00684 seconds |
./spec/models/brand_spec.rb[1:5:2:1]                       | passed | 0.007 seconds   |
./spec/models/brand_spec.rb[1:5:3:1]                       | passed | 0.00842 seconds |
./spec/models/brand_spec.rb[1:5:3:2]                       | passed | 0.00866 seconds |
./spec/models/brand_spec.rb[1:5:4:1:1]                     | passed | 0.00665 seconds |
./spec/models/brand_spec.rb[1:5:4:1:2]                     | passed | 0.00662 seconds |
./spec/models/brand_spec.rb[1:5:4:2:1]                     | passed | 0.00639 seconds |
./spec/models/brand_spec.rb[1:5:4:3:1]                     | passed | 0.01619 seconds |
./spec/models/brand_spec.rb[1:5:4:3:2]                     | passed | 0.00601 seconds |
./spec/models/brand_spec.rb[1:5:4:3:3]                     | passed | 0.00558 seconds |
./spec/models/workspace_membership_spec.rb[1:1:1]          | passed | 0.00119 seconds |
./spec/models/workspace_membership_spec.rb[1:1:2]          | passed | 0.00105 seconds |
./spec/models/workspace_membership_spec.rb[1:2:1]          | passed | 0.00262 seconds |
./spec/models/workspace_membership_spec.rb[1:2:2]          | passed | 0.00239 seconds |
./spec/models/workspace_membership_spec.rb[1:2:3]          | passed | 0.00318 seconds |
./spec/models/workspace_membership_spec.rb[1:2:4]          | passed | 0.00358 seconds |
./spec/models/workspace_membership_spec.rb[1:2:5:1]        | passed | 0.00474 seconds |
./spec/models/workspace_membership_spec.rb[1:2:5:2]        | passed | 0.006 seconds   |
./spec/models/workspace_membership_spec.rb[1:2:6:1]        | passed | 0.00323 seconds |
./spec/models/workspace_membership_spec.rb[1:2:6:2]        | passed | 0.00666 seconds |
./spec/models/workspace_membership_spec.rb[1:2:6:3]        | passed | 0.00648 seconds |
./spec/models/workspace_membership_spec.rb[1:3:1:1]        | passed | 0.01743 seconds |
./spec/models/workspace_membership_spec.rb[1:3:2:1]        | passed | 0.02005 seconds |
./spec/models/workspace_membership_spec.rb[1:3:3:1]        | passed | 0.01525 seconds |
./spec/models/workspace_membership_spec.rb[1:3:4:1]        | passed | 0.01654 seconds |
./spec/models/workspace_membership_spec.rb[1:3:5:1]        | passed | 0.01511 seconds |
./spec/models/workspace_membership_spec.rb[1:3:5:2]        | passed | 0.02395 seconds |
./spec/models/workspace_membership_spec.rb[1:3:6:1]        | passed | 0.02495 seconds |
./spec/models/workspace_membership_spec.rb[1:4:1:1]        | passed | 0.00132 seconds |
./spec/models/workspace_membership_spec.rb[1:4:1:2]        | passed | 0.00342 seconds |
./spec/models/workspace_membership_spec.rb[1:4:1:3]        | passed | 0.00443 seconds |
./spec/models/workspace_membership_spec.rb[1:4:1:4]        | passed | 0.00405 seconds |
./spec/models/workspace_membership_spec.rb[1:4:2:1]        | passed | 0.00449 seconds |
./spec/models/workspace_membership_spec.rb[1:4:2:2]        | passed | 0.0045 seconds  |
./spec/models/workspace_membership_spec.rb[1:4:2:3]        | passed | 0.00455 seconds |
./spec/models/workspace_membership_spec.rb[1:4:2:4]        | passed | 0.00395 seconds |
./spec/models/workspace_membership_spec.rb[1:4:3:1]        | passed | 0.00724 seconds |
./spec/models/workspace_membership_spec.rb[1:4:3:2]        | passed | 0.00536 seconds |
./spec/models/workspace_membership_spec.rb[1:4:3:3]        | passed | 0.00467 seconds |
./spec/models/workspace_membership_spec.rb[1:4:3:4]        | passed | 0.00388 seconds |
./spec/models/workspace_membership_spec.rb[1:5:1:1]        | passed | 0.00831 seconds |
./spec/models/workspace_membership_spec.rb[1:5:1:2]        | passed | 0.00858 seconds |
./spec/models/workspace_spec.rb[1:1:1]                     | passed | 0.00044 seconds |
./spec/models/workspace_spec.rb[1:1:2]                     | passed | 0.00044 seconds |
./spec/models/workspace_spec.rb[1:1:3]                     | passed | 0.0005 seconds  |
./spec/models/workspace_spec.rb[1:2:1]                     | passed | 0.00205 seconds |
./spec/models/workspace_spec.rb[1:2:2]                     | passed | 0.00214 seconds |
./spec/models/workspace_spec.rb[1:2:3:1]                   | passed | 0.00096 seconds |
./spec/models/workspace_spec.rb[1:2:3:2]                   | passed | 0.00096 seconds |
./spec/models/workspace_spec.rb[1:2:3:3]                   | passed | 0.00186 seconds |
./spec/models/workspace_spec.rb[1:2:4]                     | passed | 0.00095 seconds |
./spec/models/workspace_spec.rb[1:2:5]                     | passed | 0.00151 seconds |
./spec/models/workspace_spec.rb[1:2:6]                     | passed | 0.00145 seconds |
./spec/models/workspace_spec.rb[1:3:1:1]                   | passed | 0.00129 seconds |
./spec/models/workspace_spec.rb[1:3:1:2]                   | passed | 0.00102 seconds |
./spec/models/workspace_spec.rb[1:3:1:3]                   | passed | 0.00214 seconds |
./spec/models/workspace_spec.rb[1:3:1:4]                   | passed | 0.0028 seconds  |
./spec/models/workspace_spec.rb[1:3:2:1]                   | passed | 0.00104 seconds |
./spec/models/workspace_spec.rb[1:4:1:1]                   | passed | 0.00959 seconds |
./spec/models/workspace_spec.rb[1:4:2:1]                   | passed | 0.00289 seconds |
./spec/models/workspace_spec.rb[1:4:3:1]                   | passed | 0.00246 seconds |
./spec/models/workspace_spec.rb[1:5:1:1]                   | passed | 0.01193 seconds |
./spec/models/workspace_spec.rb[1:5:1:2]                   | passed | 0.0122 seconds  |
./spec/models/workspace_spec.rb[1:5:2:1]                   | passed | 0.01321 seconds |
./spec/models/workspace_spec.rb[1:5:3:1]                   | passed | 0.01238 seconds |
./spec/models/workspace_spec.rb[1:5:3:2]                   | passed | 0.01392 seconds |
./spec/models/workspace_spec.rb[1:5:3:3]                   | passed | 0.01173 seconds |
./spec/models/workspace_spec.rb[1:5:4:1]                   | passed | 0.01707 seconds |
./spec/models/workspace_spec.rb[1:5:4:2]                   | passed | 0.01813 seconds |
./spec/models/workspace_spec.rb[1:5:4:3]                   | passed | 0.0147 seconds  |
./spec/models/workspace_spec.rb[1:5:5:1]                   | passed | 0.01527 seconds |
./spec/models/workspace_spec.rb[1:5:5:2]                   | passed | 0.01195 seconds |
./spec/models/workspace_spec.rb[1:5:5:3]                   | passed | 0.01355 seconds |
./spec/models/workspace_spec.rb[1:5:6:1]                   | passed | 0.012 seconds   |
./spec/models/workspace_spec.rb[1:5:6:2]                   | passed | 0.01209 seconds |
./spec/models/workspace_spec.rb[1:5:6:3]                   | passed | 0.01367 seconds |
./spec/requests/dashboard_spec.rb[1:1:1:1]                 | passed | 0.01056 seconds |
./spec/requests/dashboard_spec.rb[1:1:1:2]                 | passed | 0.00859 seconds |
./spec/requests/dashboard_spec.rb[1:1:1:3]                 | passed | 0.00841 seconds |
./spec/requests/dashboard_spec.rb[1:1:2:1]                 | passed | 0.06392 seconds |
./spec/requests/dashboard_spec.rb[1:1:2:2]                 | passed | 0.01466 seconds |
./spec/requests/dashboard_spec.rb[1:1:2:3]                 | passed | 0.01611 seconds |
./spec/requests/dashboard_spec.rb[1:1:3:1]                 | passed | 0.00935 seconds |
./spec/requests/dashboard_spec.rb[1:1:3:2]                 | passed | 0.01097 seconds |
./spec/requests/dashboard_spec.rb[1:1:4:1]                 | passed | 0.00956 seconds |
./spec/requests/dashboard_spec.rb[1:1:5:1]                 | passed | 0.03091 seconds |
./spec/requests/dashboard_spec.rb[1:1:5:2]                 | passed | 0.02867 seconds |
./spec/requests/dashboard_spec.rb[1:2:1]                   | passed | 0.01664 seconds |
./spec/requests/dashboard_spec.rb[1:2:2]                   | passed | 0.01548 seconds |
./spec/requests/dashboard_spec.rb[1:2:3]                   | passed | 0.01982 seconds |
./spec/requests/dashboard_spec.rb[1:2:4]                   | passed | 0.01526 seconds |
./spec/requests/dashboard_spec.rb[1:3:1]                   | passed | 0.00938 seconds |
./spec/requests/dashboard_spec.rb[1:3:2]                   | passed | 0.01001 seconds |
./spec/system/brands_spec.rb[1:1:1]                        | passed | 0.01473 seconds |
./spec/system/brands_spec.rb[1:1:2]                        | passed | 0.0129 seconds  |
./spec/system/brands_spec.rb[1:2:1]                        | passed | 0.0351 seconds  |
./spec/system/brands_spec.rb[1:2:2]                        | passed | 0.02383 seconds |
./spec/system/brands_spec.rb[1:3:1]                        | passed | 0.03624 seconds |
./spec/system/brands_spec.rb[1:3:2]                        | passed | 0.02415 seconds |
./spec/system/brands_spec.rb[1:4:1]                        | passed | 0.03087 seconds |
./spec/system/brands_spec.rb[1:5:1]                        | passed | 0.02586 seconds |
./spec/system/brands_spec.rb[1:5:2]                        | passed | 0.03166 seconds |
./spec/system/brands_spec.rb[1:6:1]                        | passed | 0.01634 seconds |
./spec/system/brands_spec.rb[1:6:2]                        | passed | 0.01644 seconds |
./spec/system/brands_spec.rb[1:7:1]                        | passed | 0.02445 seconds |
